Title:,"Time Series, Area-Averaged of Upwelling longwave flux at toa (clear sky and no aerosol) monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2003-12-01T00:00:00Z
User End Date:,2023-12-31T23:59:59Z
User Bounding Box:,"-122.8223,31.853,-113.1543,37.0385"
Data Bounding Box:,
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2003-12-01T00:00:00Z&endtime=2023-12-31T23:59:59Z&shape=tl_2014_us_state/shp_13&bbox=-122.8223,31.853,-113.1543,37.0385&data=M2TMNXRAD_5_12_4_LWTUPCLRCLN&dataKeyword=NO2&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXRAD_5_12_4_LWTUPCLRCLN):, 1000000000000000
first,second
time, mean_M2TMNXRAD_5_12_4_LWTUPCLRCLN
12/1/03 0:00,255.998032
1/1/04 0:00,255.401169
2/1/04 0:00,254.069229
3/1/04 0:00,277.351562
4/1/04 0:00,279.316345
5/1/04 0:00,292.987488
6/1/04 0:00,303.474762
7/1/04 0:00,307.569916
8/1/04 0:00,305.065033
9/1/04 0:00,302.243347
10/1/04 0:00,277.17572
11/1/04 0:00,262.955719
12/1/04 0:00,259.549347
1/1/05 0:00,255.248917
2/1/05 0:00,255.503098
3/1/05 0:00,264.45697
4/1/05 0:00,272.674133
5/1/05 0:00,285.089996
6/1/05 0:00,297.205536
7/1/05 0:00,313.416931
8/1/05 0:00,306.159821
9/1/05 0:00,300.695709
10/1/05 0:00,282.151093
11/1/05 0:00,269.636444
12/1/05 0:00,256.019592
1/1/06 0:00,257.315186
2/1/06 0:00,264.450439
3/1/06 0:00,256.656616
4/1/06 0:00,270.099182
5/1/06 0:00,288.689392
6/1/06 0:00,303.596008
7/1/06 0:00,304.139709
8/1/06 0:00,312.325806
9/1/06 0:00,298.750916
10/1/06 0:00,279.879608
11/1/06 0:00,271.112
12/1/06 0:00,259.201233
1/1/07 0:00,256.963776
2/1/07 0:00,260.50116
3/1/07 0:00,273.036591
4/1/07 0:00,275.375732
5/1/07 0:00,293.012177
6/1/07 0:00,307.202148
7/1/07 0:00,306.778992
8/1/07 0:00,304.941406
9/1/07 0:00,296.768707
10/1/07 0:00,283.955078
11/1/07 0:00,272.96463
12/1/07 0:00,254.584381
1/1/08 0:00,252.457916
2/1/08 0:00,258.717438
3/1/08 0:00,269.005402
4/1/08 0:00,278.321625
5/1/08 0:00,286.39386
6/1/08 0:00,307.940094
7/1/08 0:00,306.950806
8/1/08 0:00,305.677856
9/1/08 0:00,305.006622
10/1/08 0:00,289.201141
11/1/08 0:00,271.95462
12/1/08 0:00,255.259705
1/1/09 0:00,263.508484
2/1/09 0:00,257.579559
3/1/09 0:00,268.039185
4/1/09 0:00,275.026154
5/1/09 0:00,291.364563
6/1/09 0:00,289.669861
7/1/09 0:00,306.620331
8/1/09 0:00,307.850861
9/1/09 0:00,300.768799
10/1/09 0:00,281.20697
11/1/09 0:00,270.579102
12/1/09 0:00,253.670532
1/1/10 0:00,254.354401
2/1/10 0:00,255.771118
3/1/10 0:00,264.56369
4/1/10 0:00,269.693909
5/1/10 0:00,279.055939
6/1/10 0:00,299.742767
7/1/10 0:00,309.919067
8/1/10 0:00,310.229187
9/1/10 0:00,309.827728
10/1/10 0:00,276.300171
11/1/10 0:00,266.716125
12/1/10 0:00,255.457474
1/1/11 0:00,257.564514
2/1/11 0:00,257.892822
3/1/11 0:00,261.094879
4/1/11 0:00,271.394012
5/1/11 0:00,280.322144
6/1/11 0:00,299.839111
7/1/11 0:00,307.608887
8/1/11 0:00,309.516907
9/1/11 0:00,298.75174
10/1/11 0:00,285.747986
11/1/11 0:00,265.326904
12/1/11 0:00,257.23407
1/1/12 0:00,260.991943
2/1/12 0:00,259.44342
3/1/12 0:00,265.61264
4/1/12 0:00,276.340759
5/1/12 0:00,294.402557
6/1/12 0:00,308.834381
7/1/12 0:00,308.21463
8/1/12 0:00,303.456573
9/1/12 0:00,298.697021
10/1/12 0:00,285.693024
11/1/12 0:00,270.947083
12/1/12 0:00,255.689377
1/1/13 0:00,256.121948
2/1/13 0:00,260.609222
3/1/13 0:00,271.058228
4/1/13 0:00,283.032196
5/1/13 0:00,289.4039
6/1/13 0:00,305.426697
7/1/13 0:00,299.46405
8/1/13 0:00,301.388306
9/1/13 0:00,297.159271
10/1/13 0:00,283.63446
11/1/13 0:00,268.254822
12/1/13 0:00,260.186737
1/1/14 0:00,264.806335
2/1/14 0:00,264.170227
3/1/14 0:00,269.956818
4/1/14 0:00,277.726013
5/1/14 0:00,289.873108
6/1/14 0:00,307.854034
7/1/14 0:00,299.23056
8/1/14 0:00,302.262543
9/1/14 0:00,303.314178
10/1/14 0:00,290.165375
11/1/14 0:00,269.822021
12/1/14 0:00,258.420532
1/1/15 0:00,259.990021
2/1/15 0:00,271.237488
3/1/15 0:00,275.746307
4/1/15 0:00,277.553131
5/1/15 0:00,279.3974
6/1/15 0:00,303.912689
7/1/15 0:00,299.380219
8/1/15 0:00,301.548981
9/1/15 0:00,296.460754
10/1/15 0:00,282.795868
11/1/15 0:00,267.623596
12/1/15 0:00,256.770386
1/1/16 0:00,254.610382
2/1/16 0:00,271.172119
3/1/16 0:00,269.274567
4/1/16 0:00,275.002228
5/1/16 0:00,282.994354
6/1/16 0:00,303.983398
7/1/16 0:00,308.957733
8/1/16 0:00,309.544891
9/1/16 0:00,297.942902
10/1/16 0:00,282.406158
11/1/16 0:00,270.729919
12/1/16 0:00,256.218597
1/1/17 0:00,252.93364
2/1/17 0:00,258.519287
3/1/17 0:00,270.781006
4/1/17 0:00,275.79071
5/1/17 0:00,286.893524
6/1/17 0:00,311.290527
7/1/17 0:00,306.011017
8/1/17 0:00,306.479156
9/1/17 0:00,292.00177
10/1/17 0:00,291.766937
11/1/17 0:00,271.787506
12/1/17 0:00,265.013306
1/1/18 0:00,260.174164
2/1/18 0:00,264.361664
3/1/18 0:00,263.775879
4/1/18 0:00,278.658997
5/1/18 0:00,285.873932
6/1/18 0:00,309.388153
7/1/18 0:00,300.153625
8/1/18 0:00,303.568542
9/1/18 0:00,304.919891
10/1/18 0:00,282.207947
11/1/18 0:00,269.394043
12/1/18 0:00,256.007446
1/1/19 0:00,256.560669
2/1/19 0:00,252.251266
3/1/19 0:00,263.553864
4/1/19 0:00,275.130585
5/1/19 0:00,274.062744
6/1/19 0:00,297.612305
7/1/19 0:00,305.690613
8/1/19 0:00,310.375671
9/1/19 0:00,297.30957
10/1/19 0:00,288.413757
11/1/19 0:00,269.99353
12/1/19 0:00,253.934814
1/1/20 0:00,258.065308
2/1/20 0:00,264.437256
3/1/20 0:00,261.325348
4/1/20 0:00,272.997498
5/1/20 0:00,290.256226
6/1/20 0:00,299.47998
7/1/20 0:00,315.318604
8/1/20 0:00,310.499146
9/1/20 0:00,308.602203
10/1/20 0:00,295.630829
11/1/20 0:00,270.751221
12/1/20 0:00,259.928864
1/1/21 0:00,256.09494
2/1/21 0:00,262.235229
3/1/21 0:00,266.529602
4/1/21 0:00,281.845154
5/1/21 0:00,292.017914
6/1/21 0:00,304.078339
7/1/21 0:00,299.954041
8/1/21 0:00,309.175842
9/1/21 0:00,303.998352
10/1/21 0:00,278.63623
11/1/21 0:00,275.229156
12/1/21 0:00,257.696655
1/1/22 0:00,260.184937
2/1/22 0:00,265.84906
3/1/22 0:00,270.598969
4/1/22 0:00,279.560883
5/1/22 0:00,290.968475
6/1/22 0:00,304.546051
7/1/22 0:00,302.041626
8/1/22 0:00,300.848145
9/1/22 0:00,299.860413
10/1/22 0:00,286.047119
11/1/22 0:00,265.148193
12/1/22 0:00,255.00499
1/1/23 0:00,253.421783
2/1/23 0:00,253.614075
3/1/23 0:00,256.296478
4/1/23 0:00,274.782227
5/1/23 0:00,281.531097
6/1/23 0:00,290.033386
7/1/23 0:00,312.292664
8/1/23 0:00,307.855225
9/1/23 0:00,296.292969
10/1/23 0:00,287.996063
11/1/23 0:00,272.058716
12/1/23 0:00,260.661285